chrom	start	end	gene	Type	Complex
chrM	1	68	tRNA-Phe	tRNA	NA
chrM	70	1024	12S_rRNA	rRNA	NA
chrM	1025	1093	tRNA-Val	tRNA	NA
chrM	1094	2675	16S_rRNA	rRNA	NA
chrM	2676	2750	tRNA-Leu	tRNA	NA
chrM	2751	3707	ND1	Protein	ComplexI
chrM	3706	3774	tRNA-Ile	tRNA	NA
chrM	3772	3842	tRNA-Gln	tRNA	NA
chrM	3845	3913	tRNA-Met	tRNA	NA
chrM	3914	4951	ND2	Protein	ComplexI
chrM	4950	5016	tRNA-Trp	tRNA	NA
chrM	5018	5086	tRNA-Ala	tRNA	NA
chrM	5089	5159	tRNA-Asn	tRNA	NA
chrM	5160	5191	OL	origin	NA
chrM	5192	5257	tRNA-Cys	tRNA	NA
chrM	5260	5326	tRNA-Tyr	tRNA	NA
chrM	5328	6872	COX1	Protein	ComplexIV
chrM	6870	6938	tRNA-Ser	tRNA	NA
chrM	6942	7011	tRNA-Asp	tRNA	NA
chrM	7013	7696	COX2	Protein	ComplexIV
chrM	7700	7764	tRNA-Lys	tRNA	NA
chrM	7766	7969	ATP8	Protein	ComplexV
chrM	7927	8607	ATP6	Protein	ComplexV
chrM	8607	9390	COX3	Protein	ComplexIV
chrM	9391	9458	tRNA-Gly	tRNA	NA
chrM	9459	9806	ND3	Protein	ComplexI
chrM	9808	9875	tRNA-Arg	tRNA	NA
chrM	9877	10173	ND4L	Protein	ComplexI
chrM	10167	11544	ND4	Protein	ComplexI
chrM	11546	11612	tRNA-His	tRNA	NA
chrM	11613	11671	tRNA-Ser	tRNA	NA
chrM	11671	11741	tRNA-Leu	tRNA	NA
chrM	11742	13565	ND5	Protein	ComplexI
chrM	13552	14070	ND6	Protein	ComplexI
chrM	14071	14139	tRNA-Glu	tRNA	NA
chrM	14145	15288	CYTB	Protein	ComplexIII
chrM	15289	15355	tRNA-Thr	tRNA	NA
chrM	15356	15422	tRNA-Pro	tRNA	NA
chrM	16033	16299	OH	origin	NA
